No,Date,Day,Curator,Source,G,D,T,Problem Statement,Hint 1,Hint 2,Hint 3,Notes,Solved,Solved by,In pdf?,
1142,10 May 2022,Tue,Tony,"1995 Dutch MO, P1 of 5",C,3,,"A kangaroo jumps from lattice point to lattice point in the coordinate plane. It can make only two kinds of jumps:
\begin{itemize}
\item Jump A: here it jumps $1$ to the right (in the positive \(x\)-direction) and $3$ up (in the positive \(y\)-direction).
\item Jump B: here it jumps $2$ to the left and $4$ down.
\end{itemize}
\begin{enumerate}[(a)]
\item The kangaroo's starting position is the origin \((0,0)\). Show that the kangaroo can jump to the point \((19,95)\) and calculate the number of jumps it needs to do this.
\item The starting position is now the point \((1,0)\). Show that it can never reach the point \((19,95)\).
\item The starting position of the kangaroo is again the origin \((0,0)\). To which points \((m,n)\) with \(m,n \geq 0\) can the kangaroo jump and to which can it not?
\end{enumerate}",,,,,,,,
1136,4 May 2022,Wed,Angry Any,2022 ARML Local Indiv P 6 of 10,C,3,,"There are $11$ islands in the CaribARML Sea. Some island pairs are connected to each other by
bridges and other island pairs are not. For every set of three CaribARML islands, either they
are all connected to each other by a bridge or exactly one pair of them is. Compute the least
possible number of bridges in the CaribARML islands.",,,,,,,,
1135,3 May 2022,Tue,Daniel,"2008 CMO, P1 of 5",G,3,,"$ABCD$ is a convex quadrilateral for which $AB$ is the longest side. Points $M$ and $N$ are located on sides $AB$ and $BC$ respectively, so that each of the segments $AN$ and $CM$ divides the quadrilateral into two parts of equal area. Prove that the segment $MN$ bisects the diagonal $BD$.",,,,,,,,
1128,26 Apr 2022,Tue,Adam,"2015 Serbian TST, P3",C,3,,"There are 2015 prisoners each with a hat coloured in one of 5 colours. 
One day, the guards order all of the prisoners to line up. The prisoners do so, and each prisoner can see the hats of all prisoners behind and ahead of them in the line.

A guard asks the prisoners one by one `do you know the colour of your hat?’. If the prisoner says \emph{no}, they are killed. If they say \emph{yes}, they are then asked to say the colour of their hat. If they answer correctly, they are set free, and otherwise they are killed. 

Each of the prisoners can hear whether another prisoner said \emph{yes} or \emph{no} and can see whether the prisoner was killed, but they cannot hear the colour guessed if the prisoner had answered \emph{yes}.

All of the prisoners are perfectly logical and altruistic, and they are able to think of a strategy before they line up. What is the largest number of prisoners we can guarantee survive?
",,,,,,,,
1115,13 Apr 2022,Wed,Angry Any,"2013 PUMaC Div A NT, P7 of 8",N,3,,Suppose $P(x)$ is a degree $n$ monic polynomial with integer coefficients such that $2013$ divides $P(r)$ for exactly $1000$ values of $r$ between $1$ and $2013$ inclusive. Find the minimum value of $n$.,,,,,,,,
1114,12 Apr 2022,Tue,Adam,"2022 EGMO, P4 of 6",A,3,,"Given a positive integer $n \geq 2$, determine the largest positive integer $N$ for which there exist $N+1$ real numbers $a_{0}, a_{1}, \ldots, a_{N}$ such that
\begin{enumerate}[(1)]
\item $a_{0}+a_{1}=-\frac{1}{n}$, and
\item $\left(a_{k}+a_{k-1}\right)\left(a_{k}+a_{k+1}\right)=a_{k-1}-a_{k+1}$ for $1 \leq k \leq N-1$
\end{enumerate}",,,,,,,,
1107,5 Apr 2022,Tue,Adam,"2017 European Mathematical Cup, Senior Problem 1 of 4",A,3,FE,"Find all functions $f: \mathbb{N} \rightarrow \mathbb{N}$ such that the inequality
$$
f(x)+y f(f(x)) \leq x(1+f(y))
$$
holds for all positive integers $x, y$.",,,,,,,,
1101,30 Mar 2022,Wed,Angry Any,2019 CHMMC P3 of 10,CG,3,,"A frog is jumping between lattice points on the coordinate plane in the following way: On each jump, the frog randomly goes to one of the 8 closest lattice points to it, such that the frog never goes in the same direction on consecutive jumps. If the frog starts at $(20, 19)$ and jumps to $(20, 20)$, then what is the expected value of the frog’s position after it jumps for an infinitely long time?",,,,,,,,
1093,22 Mar 2022,Tue,Adam,"2010 China Round 2, Test 2, P4 of 6",C,3,EN,"The code system of a new ``MO lock'' is a regular $n$-gon, with each vertex labelled either 0 or 1 and coloured red or blue. It is known that for any adjacent vertices, either their numbers or colours coincide. Find the number of all possible codes.",,,,,,,,
1087,16 Mar 2022,Wed,Tony,"2022 ICMC, Round 2, P1 of 5",GC,3,,"Let $S$ be a set of $2022$ lines in the plane, no two parallel, no three concurrent.  $S$ divides the plane into finite regions and infinite regions.  Is it possible for all the finite regions to have integer area?",,,,,,,,
1073,2 Mar 2022,Wed,Angry Any,"2015 HMIC, P1 of 5",N,3,,"Let $S$ be the set of positive integers n such that the inequality
\[
\phi(n) · \tau(n) \geq \sqrt{\frac{n^3}{3}}
\]
holds, where $\phi(n)$ is the number of positive integers $k ≤ n$ that are relatively prime to $n$, and $\tau (n)$ is
the number of positive divisors of $n$. Prove that $S$ is finite.",,,,,,,,
1066,23 Feb 2022,Wed,Angry Any,2022 AIME II P8 of 15,N,3,,"Find the number of positive integers $n \le 600$ whose value can be uniquely determined when the values of $\left\lfloor \frac n4\right\rfloor$, $\left\lfloor\frac n5\right\rfloor$, and $\left\lfloor\frac n6\right\rfloor$ are given, where $\lfloor x \rfloor$ denotes the greatest integer less than or equal to the real number $x$.

\begin{center}
{\it (Note that it is not given that $n \le 600$ when finding the answer. That is, you cannot assume that $n \le 600$ to determine the value of $n$)}
\end{center}
",,,,,,,,
1058,15 Feb 2022,Tue,Tony,ACPS 2.4.10,G,3,GI,"A bug is crawling on the coordinate plane from \((7,11)\) to \((-17,-3)\). The bug travels at constant speed one unit per second everywhere but quadrant II (neg­ative \(x\)- and positive \(y\)-coordinates), where it travels at half a unit per second. What path should the bug take to complete its journey in minimal time?",,,,,,,,
1051,8 Feb 2022,Tue,Adam,"2003 USAMO, P1 of 6",N,3,,Prove that for every positive integer $n$ there exists an $n$-digit number divisible by $5^{n}$ all of whose digits are odd.,,,,,,,,
1045,2 Feb 2022,Wed,Angry Any,"2021 AIME I, P 14 of 15",N,3,,"For any positive integer $a,$ $\sigma(a)$ denotes the sum of the positive integer divisors of $a$. Let $n$ be the least positive integer such that $\sigma(a^n)-1$ is divisible by $2021$ for all positive integers $a$. Find $n$.",,,,,,,,
1044,1 Feb 2022,Tue,Adam,"2021 BMO2, P2 of 4",A,3,FE,"Find all functions $f$ from the positive integers to the positive integers such that for all $x, y$ we have:
$$
2 y f\left(f\left(x^{2}\right)+x\right)=f(x+1) f(2 x y)
$$",,,,,,,,
1037,25 Jan 2022,Tue,Adam,Folklore,N,3,,"Find with proof all positive integers $k$ such that, for $n=2^{k}$, every prime number which divides $n!+1$ also divides $n+1$.",,,,,,,,
1010,29 Dec 2021,Wed,Angry Any,"2020 CHMMC Proof Round, P1 of 6",C,3,,"Let \(n\) be a positive integer, $K = \{1, 2, . . . , n\}$, and $\sigma : K \to K$ be a function with the property that $\sigma(i) = \sigma(j)$ if and only if $i = j$ (in other words, $\sigma$ is a \emph{bijection}). Show that there is a positive integer $m$ such that
\[
\underbrace{\sigma(\sigma(\ldots \sigma(i)\ldots))}_{m\text{ times}} = i
\]
for all $i \in K$.",,,,,,,,
1009,28 Dec 2021,Tue,Tony,"2016 NZ Camp Selection, P2 of 9",A,3,,"We consider \(5 \times 5\) tables containing a real number in each of the 25 cells. The same number may occur in different cells, but no row or column contains five equal numbers. Such a table is \emph{balanced} if the number in the middle cell of every row and column is the average of the numbers in that row or column. A cell is called \emph{small} if the number in that cell is strictly smaller than the number in the cell in the very middle of the table. What is the least number of small cells that a balanced table can have?",,,,,,,,
1003,22 Dec 2021,Wed,Tony,"2015 NZ Camp Selection, P9 of 9",C,3,GT,"Consolidated Megacorp is planning to send a salesperson to Elbonia who needs to visit every town there. It is possible to travel between any two towns of Elbonia directly either by barge or by mule cart (the same type of travel is available in either direction, and these are the only types of travel available). Show that it is possible to choose a starting town so that the salesperson can complete a round trip visiting each town exactly once and returning to her starting point, while changing the type of transportation used at most one time (this is desirable, since it’s hard to arrange for the merchandise to be transferred from barge to cart or vice versa).",,,,,,,,
1002,21 Dec 2021,Tue,Adam,"2021 British MO, P3 of 6",C,3,,"For each integer $0 \leq n \leq 11$, Eliza has exactly three identical pieces of gold that weigh $2^{n}$ grams. In how many different ways can she form a pile of gold weighing 2021 grams?

\emph{(Two piles are different if they contain different numbers of gold pieces of some weight. The arrangement of the pieces in the piles is irrelevant.)}",,,,,,,,
996,15 Dec 2021,Wed,Adam,"2021 ITAMO, P4 of 6",A,3,,"Given two fractions $a / b$ and $c / d$ we define their pirate sum as:
$$\frac{a}{b} \star \frac{c}{d}=\frac{a+c}{b+d},$$ 
where the two initial fractions are simplified the most possible, like the result.

For example, the pirate sum of $2 / 7$ and $4 / 5$ is $1 / 2$.

Given an integer $n \geq 3$, initially on a blackboard there are the fractions:
$\frac{1}{1}, \frac{1}{2}, \frac{1}{3}, \ldots, \frac{1}{n}$.
At each step we choose two fractions written on the blackboard, we delete them and write at their place their pirate sum.
Continue doing the same thing until on the blackboard there is only one fraction.
Determine, in function of $n$, the maximum and the minimum possible value for the last fraction.",,,,,,,,
995,14 Dec 2021,Tue,Adam,"AIME 2019, P14 of 15",N,3,,Find the least odd prime factor of $2019^{8}+1$.,,,,,,,,
989,8 Dec 2021,Wed,Adam,"2021 ICMC Round 1, P2 of 6",C,3,,"Find all integers $n$ for which there exists a table with $n$ rows, 2022 columns, and integer entries, such that subtracting any two rows entry-wise leaves every remainder modulo 2022 .",,,,,,,,
968,17 Nov 2021,Wed,Angry Any,"2019 HMIC, P1 of 5",N,3,,"Let $m > 1$ be a fixed positive integer. For a nonempty string of base-ten digits $S$, let $c(S)$ be the number of ways to split $S$ into contiguous nonempty strings of digits such that the base-ten number represented by each string is divisible by $m$. These strings are allowed to have leading zeroes.
In terms of m, what are the possible values that c(S) can take?

For example, if $m = 2$, then $c(1234) = 2$ as the splits $1234$ and $12|34$ are valid, while the other six splits are invalid.",,,,,,,,
954,3 Nov 2021,Wed,Angry Any,"2020 Tournament of Towns Senior A, P1 of 7",N,3,,"There were $n$ positive integers. For each pair of those integers Boris wrote their
arithmetic mean onto a blackboard and their geometric mean onto a whiteboard. It so
happened that for each pair at least one of those means was integer. Prove that on at
least one of the boards all the numbers are integer.",,,,,,,,
953,2 Nov 2021,Tue,Adam,Coffee Time in Memphis,G,3,,Show that every convex polygon of area 1 is contained in a rectangle of area 2.,,,,,,,,
933,13 Oct 2021,Wed,Angry Any,"2021 AOPS Practice AMC 12, P21 of 25 ",N,3,,The number $1 + 2^{21} + 4^{21}$ is divisible by exactly one two-digit prime $p.$ What is the sum of the digits of $p?$,,,,,,,,
932,12 Oct 2021,Tue,Adam,Iran 1996,C,3,,"The top and bottom edges of a chessboard are identified together, as are the left and right edges, yielding a torus. Find the maximum number of knights which can be placed so that no two attack each other.",,,,,,,,
911,21 Sep 2021,Tue,Adam,NIMO 5.6,C,3,,"Tom has a scientific calculator.
Unfortunately,
all keys are broken except for one row:
\verb$1$, \verb$2$, \verb$3$, \verb$+$ and \verb$-$.
Tom presses a sequence of $5$ random keystrokes;
at each stroke, each key is equally likely to be pressed.
The calculator then evaluates the entire expression,
yielding a result of $E$.
Find the expected value of $E$. 

(Note: Negative numbers are permitted, so \verb$13-22$ gives $E = -9$.
Any excess operators are parsed as signs, so \verb$-2-+3$ gives $E=-5$
and \verb$-+-31$ gives $E = 31$.
Trailing operators are discarded, so \verb$2++-+$ gives $E=2$.
A string consisting only of operators, such as \verb$-++-+$, gives $E=0$.)",,,,,,,,
910,20 Sep 2021,Mon,Adam,"AIME 2021, P7 of 15",N,3,,"Find the number of pairs $(m,n)$ of positive integers with $1 \leq m < n \leq 30$ such that there exists a real number $x$ satisfying $\sin(mx) + \sin(nx) = 2$.",,,,,,,,
905,15 Sep 2021,Wed,Angry Any,2017 USAMTS R3 P2 of 5,N,3,,"Let $q$ be a real number. Suppose
there are three distinct positive integers $a, b, c$ such that $q + a, q + b, q + c$ is a geometric
progression. Show that q is rational",,,,,,,,
876,17 Aug 2021,Tue,Cyclic,"Taiwan ""IMOC"", N3",N,3,,"Define the function $f: \mathbb{N}_{>1} \rightarrow \mathbb{N}_{>1}$ such that $f(x)$ is the greatest prime factor of $x$. A sequence of positive integers $\left\{a_{n}\right\}$ satisfies $a_{1}=M>1$ and
$$
a_{n+1}=\left\{\begin{array}{l}
a_{n}-f\left(a_{n}\right), \quad \text { if } a_{n} \text { is composite. } \\
a_{n}+k, \quad \text { otherwise }
\end{array}\right.
$$
Show that for any positive integers $M, k$, the sequence $\left\{a_{n}\right\}$ is bounded.",,,,,,,,
869,10 Aug 2021,Tue,Tony,"2021 NZMO1, P4",N,3,DE,"Find all triples \((x,p,n)\) of non-negative integers such that \(p\) is prime and \[2x(x+5) = p^n + 3(x-1).\]",,,,,,,,
855,27 Jul 2021,Tue,Will,"2017 ASC, P3 of 5",N,3,,"Let $a_{1}<a_{2}<\cdots<a_{2017}$ and $b_{1}<b_{2}<\cdots<b_{2017}$ be positive integers such that $$ \left(2^{a_{1}}+1\right)\left(2^{a_{2}}+1\right) \cdots\left(2^{a_{2017}}+1\right)=\left(2^{b_{1}}+1\right)\left(2^{b_{2}}+1\right) \cdots\left(2^{b_{2017}}+1\right) $$ Prove that $a_{i}=b_{i}$ for $i=1,2, \ldots, 2017$.",,,,,,,,
834,6 Jul 2021,Tue,Will,"2021 MODSMO, P2 of 7",N,3,,Find all integers $n$ that can be written in the form $$ n = \frac{x^{2}}{x+\lfloor\sqrt{x}\rfloor+1} $$ for some positive integer $x$.,,,,,,,,
828,30 Jun 2021,Wed,Will,"2016 AMO, P3 of 8",A,3,,"For a real number $x$, define $\lfloor x\rfloor$ to be the largest integer less than or equal to $x$, and define $\{x\}=x-\lfloor x\rfloor$.
\smallbreak
(a) Prove that there are infinitely many positive real numbers $x$ that satisfy the inequality
$$ \left\{x^{2}\right\}-\{x\}>\frac{2015}{2016} $$
(b) Prove that there is no positive real number $x$ less than $1000$ that satisfies this inequality.",,,,,,,,
821,23 Jun 2021,Wed,Will,"2020 ASC, P3 of 5",N,3,,"Let $a_{1}$ be a given integer greater than 1. For $k=2,3,4, \ldots$, let $a_{k}$ be the smallest positive integer that satisfies the following conditions:
\begin{itemize}
\item $a_{k}>a_{k-1}$
\item $a_{k}$ is not divisible by $a_{r}$ for any $r<k$.
\end{itemize}
Prove that the number of composite numbers in the sequence $a_{1}, a_{2}, a_{3}, \ldots$ is finite.",,,,,,,,
820,22 Jun 2021,Tue,Will,"2020 ASC, P2 of 5",C,3,,"Let $m$ and $n$ be integers greater than 1 . We would like to write each of the numbers $1,2,3, \ldots, m n$ in the $m n$ unit squares of an $m \times n$ chessboard, one number per square, according to the following rules. 
\begin{itemize}
\item Each pair of consecutive numbers must be written within one row or column of the chessboard.
\item No three consecutive numbers can be written within one row or column of the chessboard.
\end{itemize}
For which values of $m$ and $n$ is this possible?",,,,,,,,
800,2 Jun 2021,Wed,Will,"2019 Tournament of Towns Senior O-Level, P3 of 5",G,3,,Prove that any triangle can be cut into $2019$ quadrilaterals such that each quadrilateral is both inscribed and circumscribed.,,,,,,,,
799,1 Jun 2021,Tue,Will,"2013 AMO, P6 of 8",C,3,,There are $2013$ people at a party. Among any $3$ of these people the number of pairs of people who know each other is odd. Prove that there are $1007$ people who all know each other.,,,,,,,,
793,26 May 2021,Wed,Adam,"2021 Irish MO, P8 of 10",G,3,,"A point $C$ lies on a line segment $A B$ between $A$ and $B$ and circles are drawn having $A C$ and $C B$ as diameters. A common tangent to both circles touches the circle with $A C$ as diameter at $P \neq C$ and the circle with $C B$ as diameter at $Q \neq C$.

Prove that $A P, B Q$ and the common tangent to both circles at $C$ all meet at a single point which lies on the circumference of the circle with $A B$ as diameter.",,,,,,,,
786,19 May 2021,Wed,Will,"2014 STEP 3, P5 of 13",G,3,,"Let $PQRS$ be a quadrilateral in the plane with all internal angles less than $180^{\circ}.$ Squares with centres $X, Y, Z$ and $T$ are constructed externally to the quadrilateral on the sides $PQ, QR, RS$ and $ST$ respectively. Show that $XYZT$ is a square if and only if $PQRS$ is a parallelogram. ",,,,,,,,
778,11 May 2021,Tue,Will,"2015 AMO, P6 of 8",A,3,,Determine the number of distinct real solutions of the equation $$(x-1)(x-3)(x-5) \cdots(x-2015)=(x-2)(x-4)(x-6) \cdots(x-2014)$$,,,,,,,,
758,21 Apr 2021,Wed,Joe,"2019/20 BMO1, P5 of 6",C,3,,"Six children are evenly spaced around a circular table. Initially, one has a pile of $n>0$ sweets in front of them, and the others have nothing. If a child has at least four sweets in front of them, they may perform the following move: eat one sweet and give one sweet to each of their immediate neighbours and to the child directly opposite them. An arrangement is called \textit{perfect} if there is a sequence of moves which results in each child having the same number of sweets in front of them. For which values of $n$ is the initial arrangement perfect?",,,,,,,,
757,20 Apr 2021,Tue,Joe,"2012 EGMO, P2 of 8",C,3,,"Let $n$ be a positive integer. Find the greatest possible integer $m$, in terms of $n$, with the following property: a table with $m$ rows and $n$ columns can be filled with real numbers in such a manner that for any two different rows $\left[ {{a_1},{a_2},\ldots,{a_n}}\right]$ and $\left[ {{b_1},{b_2},\ldots,{b_n}} \right]$ the following holds: \[\max\left( {\left| {{a_1} - {b_1}} \right|,\left| {{a_2} - {b_2}} \right|,...,\left| {{a_n} - {b_n}} \right|} \right) = 1\]",,,,,,,,
736,30 Mar 2021,Tue,Will,Hamiltonian Cycle in the Hyper-cube,C,3,,"Graph $G$ has $2^{1000}$ vertices, and each vertex is labelled with a distinct binary string of length $1000.$ Two vertices are joined by an edge if and only if their labels differ in exactly one position. Show that by walking along some of the edges you can start at some vertex, visit every other vertex exactly once, and end up back at the vertex at which you started. ",,,,,,,,
730,24 Mar 2021,Wed,Angry Any,2021 AMO P1,A,3,,"\noindent
Find the solutions to
\begin{center} 
$\displaystyle a^{2n} + b^{2n} = 1 $ and $\displaystyle a^{2n+1} + b^{2n+1}$
\end{center} 
for positive integer $n$ and real numbers $a,b$",,,,,,,,
723,17 Mar 2021,Wed,Joe,"2018 ICMC Round 2, P2 of 4, adapted",CN,3,,"Tony Wang writes the numbers from $1$ to $n$ on a board. A move consists of either moving the leftmost number to the right of all the other numbers or swapping the $a$th number from the left with the $b$th number from the left. Given $n$, $a$ and $b$, how many different permutations are reachable by making moves (including the one you get by not making any moves)?",,,,,,,,
701,23 Feb 2021,Tue,Adam,"2021 Irish EGMO TST, P4 of 5",N,3,,"Let us say that two rational numbers $p=a/b$ and $q=c/d$ (written in reduced terms) are \emph{linked} if $|p-q|=1/b d$. We say that $p$ and $q$ are \emph{connected} if there is a sequence of rational numbers $q_{0}=p$, $q_{1}$, $\ldots$, $q_{n}=q$, with each pair $q_{i}, q_{i+1}$ linked.

Show that any pair of rational numbers is connected.",,,,,,,,
688,10 Feb 2021,Wed,Joe,Two-Player Nim,C,3,GA,"Tony and Wang are sharing a bowl of Chinese noodle soup which contains $X$ noodles. They take turns eating any number from $1$ to $D$ of the noodles, with Tony getting first pick. They decided whoever ends up eating the last noodle does not drink the leftover soup at the bottom of the bowl (and the other person does because the soup at the bottom is delicious). For which pairs $(X, D)$ can Tony make sure he can drink the leftover soup at the bottom of the bowl?",,,,,,,,
681,3 Feb 2021,Wed,Angry Any,1999 Russia,C,3,,"In a certain finite nonempty school, every boy likes at least one girl. Prove that we can find a set $S$ of strictly more than half the students in the school such that each boy in S likes an odd number of girls in $S$.",,,,,,,,
680,2 Feb 2021,Tue,Adam,Folklore,CG,3,,"Define an $n$-collection to be an arrangement of $n$ points in the plane such that no three are collinear and each is colored either red or blue. What is the smallest value of $n$ such that in any $n$-collection, there will always exist two monochromatic triangles (triangles having either all blue points or all red points as vertices) which do not intersect?",,,,,,,,
674,27 Jan 2021,Wed,Angry Any,"2014 Taiwan TST1 Quiz 2, P1",A,3,,Find all increasing functions $f$ from the nonnegative integers to the integers satisfying $f(2)=7$ and\[ f(mn) = f(m) + f(n) + f(m)f(n) \]for all nonnegative integers $m$ and $n$.,,,,,,,,
673,26 Jan 2021,Tue,Joe,"2013/14 BMO1, P5 of 6",G,3,,"Let $ABC$ be an equilateral triangle, and $P$ be a point inside this triangle. Let $D$, $E$ and $F$ be the feet of the perpendiculars from $P$ to the sides $BC$, $CA$ and $AB$ respectively. Prove that

a) $AF+BD+CE=AE+BF+CD$ and

b) $[APF]+[BPD]+[CPE]=[APE]+[BPF]+[CPD]$.

\emph{The area of triangle $XYZ$ is denoted $[XYZ]$.}",,,,,,,,
660,13 Jan 2021,Wed,Joe,"2020 ICMC Round 1, P1 of 6",CG,3,,"A set of points in the plane is called \emph{sane} if no three points are collinear and the angle between any three distinct points is a rational number of degrees.

a) Does there exist a countably infinite sane set $\mathcal{P}$?

b) Does there exist an uncountably infinite sane set $\mathcal{Q}$?

\emph{Note: a set S is countable if there exists a bijection between S and the natural numbers.}",,,,,,,,
639,23 Dec 2020,Wed,Daniel,Folklore,N,3,,Let $p$ be a prime and define $k = \left\lfloor \frac{p}{4}\right\rfloor$. Find necessary and sufficient conditions on $p$ so that $p \mid k^{2k} - 1$.,,,,,,,,
637,21 Dec 2020,Mon,Adam,Folklore,G,3,,"A finite set of circles, all of the same radius and no two intersecting, are drawn on a plane. Consider the sets of points on the circumference of each circle not visible from any other circle. Prove that the total length of these sets is equal to the circumference of one of the circles.",,,,,,,,
631,15 Dec 2020,Tue,Will,A conversation with my sister,C,3,,"After escaping from a box of Avalon, Percival and Merlin have discovered the joys of modern technology. Percival is playing the inane phone game ""I Love Hue"" in which the end user is presented with an arrangement of distinctly coloured squares, some of which are in fixed positions (marked by a little black dot in the centre of the square), and others which can be moved. Each turn, Percival taps two distinct movable squares which then swap positions. The game ends when all the movable squares are in the correct final position and Percival's goal is to reach this state in the least possible number of turns. Merlin, who has been pondering the game for a few moments, remarks to Percival that if on each turn he moves one square to its final position then he will necessarily end the game in the least number of turns possible. Percival doesn't care and ignores him, but for the purpose of this problem we will say that he claims this is obviously wrong. Who is correct?",,,,,,,,
625,9 Dec 2020,Wed,Will,"2005 AMO, P8 of 8",C,3,,"In an $n \times n$ array, each of $n$ distinct symbols occurs exactly $n$ times. Show that there is a row or column in the array with at least $\sqrt{n}$ distinct symbols. ",,,,,,,,
624,8 Dec 2020,Tue,Joe,Tony Wang's friend,N,3,,"Suppose Tony Wang has $p$ bowls of Chinese noodle soup, where $p$ is prime. Suppose $p^2+2$ is also prime. Prove that $p^3+2$ is prime.",,,,,,,,
618,2 Dec 2020,Wed,Joe,"2011/2 BMO1, P5 of 6",N,3,,Prove that the product of four consecutive positive integers cannot be equal to the product of two consecutive positive integers.,,,,,,,,
611,25 Nov 2020,Wed,Adam,Folklore,CA,3,,"A real number $x=0.x_{1} x_{2} x_{3} \dots$ is called repetitive if its decimal expansion contains arbitrarily long blocks that are the same, ie. if for every $k$ there exist distinct $m$ and $n$ such that $x_{m}=x_{n}, x_{m+1}=x_{n+1}, \ldots, x_{m+k}=x_{n+k} .$ Prove that the square of a repetitive number is repetitive.",,,,,,,,
603,17 Nov 2020,Tue,Will,"2016 EGMO, P1 of 6",A,3,,"Let $n$ be an odd positive integer, and let $x_1,x_2,\cdots ,x_n$ be non-negative real numbers. Show that\[ \min_{i=1,\ldots,n} (x_i^2+x_{i+1}^2) \leq \max_{j=1,\ldots,n} (2x_jx_{j+1}) \]where $x_{n+1}=x_1$.",,,,,,,,
589,3 Nov 2020,Tue,Joe,"2005/6 BMO1, P5 of 6",G,3,,Let $G$ be a convex quadrilateral. Show that there is a point $X$ in the plane of $G$ with the property that every straight line through $X$ divides $G$ into two regions of equal area if and only if $G$ is a parallelogram.,,,,,,,,
568,13 Oct 2020,Tue,brainysmurfs,"2020 October Monday Maths Workshop, Q5 of 6",A,3,,"If the numbers $2^n$ and $5^n$ ($n \in \mathbb{N}$) start with the same digit, what is this digit?",,,,,,,,
561,6 Oct 2020,Tue,Joe,"2010/11 BMO1, P5 of 6",G,3,,"Circles $S_1$ and $S_2$ meet at $L$ and $M$. Let $P$ be a point on $S_2$. Let $PL$ and $PM$ meet $S_1$ again at $Q$ and $R$ respectively. The lines $QM$ and $RL$ meet at $K$. Show that, as $P$ varies on $S_2$, $K$ lies on a fixed circle.",,,,,,,,
554,29 Sep 2020,Tue,Joe,"2013/4 BMO1, P3 of 6",N,3,,A number written in base 10 is a string of $3^{2013}$ digit $3$s. No other digit appears. Find the highest power of 3 which divides this number.,,,,,,,,
547,22 Sep 2020,Tue,Joe,"2015 IrMO, P9 of 10",N,3,,Let $p(x)$ and $q(x)$ be non-constant polynomial functions with integer coefficients. It is known that the polynomial  $$p(x)q(x) = 2015$$ has at least $33$ different integer roots. Prove that neither $p(x)$ nor $q(x)$ can be a polynomial of degree less than three. ,,,,,,,,
546,21 Sep 2020,Mon,Adam,"1999 Spring Mathematics Tournament Kazanlâk, P8.3",C,3,,"Given $n$ points on a circle denoted consecutively $A_{1}, A_{2}, \ldots, A_{n}$ with $n \geq 3$. 
    Initially 1 is written at $A_{1}$ and 0 at the remaining points. The following operation is allowed:
    choose a point $A_{i}$ where a 1 is written and replace the numbers $a, b$ and $c$ written at the points $A_{i-1}, A_{i}$ and $A_{i+1}$ by $1-a, 1-b$ and $1-c$ respectively. (Here $A_{0}$ means $A_{n}$
    and $A_{n+1}$ means $A_{1}$).
    \begin{enumerate}
        \item If $n=1999,$ is it possible to have a 0 in all points after performing the described operation a finite number of times?
        \item Find all values of $n$ such that it is not possible to have 0 in all points after a finite
        number of operations.
    \end{enumerate}",,,,,,,,
540,15 Sep 2020,Tue,brainysmurfs,"2007 China Western Mathematical Olympiad, Day 2 Q4",C,3,,"A circular disk is partitioned into $ 2n$ equal sectors by $ n$ straight lines through its center. Then, these $ 2n$ sectors are colored in such a way that exactly $ n$ of the sectors are colored in blue, and the other $ n$ sectors are colored in red. We number the red sectors with numbers from $ 1$ to $ n$ in counter-clockwise direction (starting at some of these red sectors), and then we number the blue sectors with numbers from $ 1$ to $ n$ in clockwise direction (starting at some of these blue sectors).

Prove that one can find a half-disk which contains sectors numbered with all the numbers from $ 1$ to $ n$ (in some order). (In other words, prove that one can find $ n$ consecutive sectors which are numbered by all numbers $ 1$, $ 2$, ..., $ n$ in some order.)
",,,,,,,,
532,7 Sep 2020,Mon,Will,"1987 IMO, P1 of 6",C,3,,"Let $p_n(k)$ be the number of permutations of the set $\{1,2,3,\ldots,n\}$ which have exactly $k$ fixed points. Prove that $\sum_{k=0}^nk p_n(k)=n!$.",,,,,,,,
526,1 Sep 2020,Tue,Will,X+Y (2014 Movie),C,3,,"In each of the $4n^2$ squares of a $2n \times 2n$ board is a train painted with one of $4$ colours. Given that each $2 \times 2$ block of squares contains a train of each of the $4$ colours, show that the $4$ corner squares of the board contain trains of different colours.",,,,,,,,
525,31 Aug 2020,Mon,Adam,"2015 Canadian MO, P1 of 5",A,3,FE,"Find all functions $f: \mathbb{N} \rightarrow \mathbb{N}$ such that for all $n \in \mathbb{N}$
$$
(n-1)^{2}<f(n) f(f(n))<n^{2}+n.
$$",,,,,,,,
513,19 Aug 2020,Wed,Will,"1997 Spanish Mathematical Olympiad, P6 of 6",C,3,,"The exact quantity of gas needed for a car to complete a single loop around a track is distributed among $n$ containers placed along the track. Prove that there exists a position starting at which the car, beginning with an empty tank of gas, can complete a loop around the track without running out of gas. The tank of gas is assumed to be large enough.",,,,,,,,
512,18 Aug 2020,Tue,brainysmurfs,X+Y (2014 Movie),C,3,,A person has 10 cards on a table. At each move they can take a face-up card and flip both it and the card to its right. Prove they can only make a finite number of moves. ,,,,,,,,
511,17 Aug 2020,Mon,Adam,"2002 Putnam, A3",C,3,,"Let $n \geq 2$ be an integer and $T_{n}$ be the number of nonempty subsets $S$ of $\{1,2,3, \ldots, n\}$ with the property that the average of the elements of $S$ is an integer. Prove that $T_{n}-n$ is always even.",,,,,,,,
